期间类型,期间,起始价格,结束价格,年化收益率(%)
年度收益,2016,3631.96,4278.66,17.81
年度收益,2017,4359.81,5212.76,19.56
年度收益,2018,5511.21,4984.22,-9.56
年度收益,2019,5383.63,6553.57,21.73
年度收益,2020,6551.0,7759.35,18.45
年度收益,2021,7681.01,9986.7,30.02
年度收益,2022,9469.92,8178.02,-13.64
年度收益,2023,8691.88,10327.83,18.82
年度收益,2024,10501.38,12911.82,22.95
年度收益,2025,13271.38,15211.14,14.62
多年期几何平均,10年 (2016-2025),3631.96,15211.14,15.68
多年期几何平均,5年 (2020-2025),7472.06,15211.14,15.28
多年期几何平均,3年 (2022-2025),8678.0,15211.14,20.57
