期间类型,期间,起始价格,结束价格,年化收益率(%)
年度收益,2016,4741.1,5456.6,15.09
年度收益,2017,5742.9,7256.9,26.36
年度收益,2018,7888.2,7259.5,-7.97
年度收益,2019,7924.4,10124.0,27.76
年度收益,2020,10428.3,15072.3,44.53
年度收益,2021,15120.8,19217.9,27.1
年度收益,2022,17586.6,12994.6,-26.11
年度收益,2023,14380.7,20158.4,40.18
年度收益,2024,20539.4,25376.2,23.55
年度收益,2025,25947.5,30969.0,19.35
多年期几何平均,10年 (2016-2025),4741.1,30969.0,20.83
多年期几何平均,5年 (2020-2025),15072.3,30969.0,15.49
多年期几何平均,3年 (2022-2025),12994.6,30969.0,33.57
